IDfg,Season,Name,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM,OAA,Range
27478,2025,Patrick Bailey,SFG,C,132,114,1029.2,1013,57,7,2,5,2,6,3,0,,61.0,27.0,8.0,27.0,0.994,,2.0,,,1,,19,,,,,,,,,,,,,,,35.2,,,,,,,,,,,,,14,4.0,,21.0,,
22581,2025,Alejandro Kirk,TOR,C,118,111,965.1,968,35,9,0,9,1,0,1,3,,69.0,17.0,4.0,21.0,0.991,,-1.0,,,5,,9,,,,,,,,,,,,,,,25.6,,,,,,,,,,,,,9,-4.0,,11.8,,
25764,2025,Bobby Witt Jr.,KCR,SS,154,153,1340.0,186,382,10,6,4,71,43,29,2,,,,,,0.983,,,-1.0,,0,4.0,3,318.0,243.0,0.764,103.0,,,,,,,,,,,23.6,,,,,,,,,,,,,0,,,,24.0,18.0
21534,2025,Cal Raleigh,SEA,C,121,119,1072.0,1060,42,4,1,3,0,3,0,1,,78.0,21.0,0.0,39.0,0.996,,-1.0,,,-2,,2,,,,,,,,,,,,,,,20.4,,,,,,,,,,,,,6,-2.0,,11.1,,
27479,2025,Masyn Winn,STL,SS,129,127,1107.2,163,335,3,1,2,60,30,32,3,,,,,,0.994,,,1.0,,0,1.0,2,278.0,222.0,0.799,79.0,,,,,,,,,,,20.1,,,,,,,,,,,,,0,,,,21.0,16.0
18577,2025,Ke'Bryan Hayes,- - -,3B,152,144,1283.0,100,291,5,3,2,24,26,0,0,,,,,,0.987,,,0.0,,0,17.0,19,290.0,225.0,0.776,53.0,,,,,,,,,,,19.2,,,,,,,,,,,,,0,,,,22.0,16.0
27464,2025,Dillon Dingler,DET,C,118,113,1011.2,1023,39,7,1,5,2,4,1,0,,56.0,26.0,0.0,31.0,0.993,,2.0,,,2,,6,,,,,,,,,,,,,,,19.1,,,,,,,,,,,,,4,0.0,,5.5,,
24262,2025,Ceddanne Rafaela,BOS,CF,141,129,1167.1,319,8,5,2,3,0,0,0,0,,,,,,0.985,,,,5.0,1,14.0,20,210.0,204.0,0.971,114.0,,,,,,,,,,,18.7,,,,,,,,,,,,,0,,,,22.0,19.0
27562,2025,Austin Wells,NYY,C,122,112,1001.0,1001,36,3,1,1,1,4,1,0,,65.0,22.0,5.0,35.0,0.997,,-2.0,,,0,,-7,,,,,,,,,,,,,,,18.3,,,,,,,,,,,,,9,-11.0,,10.1,,
27769,2025,Pete Crow-Armstrong,CHC,CF,156,153,1357.0,427,5,2,2,0,0,2,0,0,,,,,,0.995,,,,4.0,-1,12.0,15,308.0,292.0,0.948,135.0,,,,,,,,,,,17.5,,,,,,,,,,,,,0,,,,21.0,19.0
16252,2025,Trea Turner,PHI,SS,139,139,1216.1,159,341,8,5,3,51,28,23,4,,,,,,0.984,,,-2.0,,-1,5.0,2,287.0,224.0,0.78,91.0,,,,,,,,,,,17.4,,,,,,,,,,,,,0,,,,16.0,12.0
22277,2025,Nick Allen,ATL,SS,130,124,1045.2,152,258,5,1,4,45,18,25,4,,,,,,0.988,,,0.0,,1,11.0,12,190.0,149.0,0.784,83.0,,,,,,,,,,,16.7,,,,,,,,,,,,,0,,,,17.0,13.0
22715,2025,Maikel Garcia,KCR,3B,136,130,1144.2,105,234,7,1,6,23,23,0,1,,,,,,0.98,,,1.0,,0,11.0,13,250.0,183.0,0.732,45.0,,,,,,,,,,,16.3,,,,,,,,,,,,,0,,,,18.0,14.0
25782,2025,Pedro Pages,STL,C,110,102,901.2,769,49,5,3,2,1,4,1,1,,62.0,24.0,8.0,35.0,0.994,,3.0,,,0,,9,,,,,,,,,,,,,,,15.9,,,,,,,,,,,,,2,5.0,,6.8,,
19722,2025,Carlos Narvaez,BOS,C,112,106,952.0,932,58,9,6,3,0,0,0,1,,75.0,32.0,9.0,31.0,0.991,,7.0,,,-2,,10,,,,,,,,,,,,,,,14.4,,,,,,,,,,,,,2,2.0,,2.0,,
25493,2025,Joey Ortiz,MIL,SS,149,140,1217.2,166,325,9,4,5,65,36,28,3,,,,,,0.982,,,-1.0,,0,-1.0,-2,268.0,206.0,0.769,94.0,,,,,,,,,,,13.9,,,,,,,,,,,,,0,,,,12.0,9.0
29931,2025,Jacob Young,WSN,CF,112,105,901.1,278,4,0,0,0,0,0,0,0,,,,,,1.0,,,,0.0,4,9.0,13,201.0,193.0,0.96,85.0,,,,,,,,,,,12.3,,,,,,,,,,,,,0,,,,14.0,13.0
21479,2025,Nico Hoerner,CHC,2B,153,153,1326.0,241,367,4,4,0,68,28,44,3,,,,,,0.993,,,1.0,,2,14.0,17,280.0,230.0,0.821,83.0,,,,,,,,,,,12.3,,,,,,,,,,,,,0,,,,14.0,10.0
21636,2025,Jeremy Pena,HOU,SS,124,120,1061.2,149,274,9,5,4,48,27,22,2,,,,,,0.979,,,0.0,,-1,6.0,5,225.0,181.0,0.804,70.0,,,,,,,,,,,10.6,,,,,,,,,,,,,0,,,,8.0,6.0
12161,2025,Xander Bogaerts,SDP,SS,125,125,1083.1,147,255,8,2,6,54,33,20,2,,,,,,0.98,,,0.0,,0,-4.0,-4,196.0,144.0,0.735,87.0,,,,,,,,,,,9.9,,,,,,,,,,,,,0,,,,7.0,5.0
15986,2025,Willy Adames,SFG,SS,158,158,1389.2,200,398,16,7,9,68,34,35,7,,,,,,0.974,,,1.0,,0,-3.0,-2,324.0,261.0,0.806,93.0,,,,,,,,,,,9.7,,,,,,,,,,,,,0,,,,5.0,4.0
12916,2025,Francisco Lindor,NYM,SS,158,157,1374.0,217,377,13,7,6,65,37,28,8,,,,,,0.979,,,-4.0,,2,1.0,-1,339.0,265.0,0.782,81.0,,,,,,,,,,,9.5,,,,,,,,,,,,,0,,,,5.0,4.0
22799,2025,Geraldo Perdomo,ARI,SS,161,160,1425.0,223,387,18,8,10,80,44,34,7,,,,,,0.971,,,-1.0,,0,4.0,3,271.0,217.0,0.801,124.0,,,,,,,,,,,9.1,,,,,,,,,,,,,0,,,,5.0,3.0
20503,2025,William Contreras,MIL,C,128,128,1111.2,1149,43,6,4,2,1,7,0,1,,60.0,22.0,6.0,30.0,0.995,,1.0,,,1,,0,,,,,,,,,,,,,,,8.9,,,,,,,,,,,,,0,-2.0,,-2.7,,
13611,2025,Mookie Betts,LAD,SS,148,148,1278.0,160,315,7,2,5,50,25,26,0,,,,,,0.985,,,1.0,,2,14.0,17,236.0,178.0,0.754,110.0,,,,,,,,,,,8.6,,,,,,,,,,,,,0,,,,5.0,3.0
31349,2025,Victor Scott II,STL,CF,136,124,1087.2,325,4,6,5,1,0,3,0,0,,,,,,0.982,,,,-1.0,-3,16.0,12,227.0,214.0,0.943,111.0,,,,,,,,,,,8.6,,,,,,,,,,,,,0,,,,16.0,14.0
15112,2025,Ryan McMahon,- - -,3B,154,143,1265.0,108,297,10,4,6,22,24,0,0,,,,,,0.976,,,0.0,,0,10.0,10,297.0,226.0,0.761,59.0,,,,,,,,,,,8.2,,,,,,,,,,,,,0,,,,6.0,5.0
