name_last,name_first,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs
Bradley,Jed,605152.0,bradj002,bradlje01,bradle000jed,13166
Barrios,Manuel,110625.0,barrm002,barrima01,barrio001man,1000605
Martin,Frank,118336.0,martf102,martifr01,martin001fra,1008165
Browne,Byron,111603.0,browb101,brownby01,browne002byr,1001500
Daringer,Rolla,113051.0,darir101,darinro01,daring001rol,1002986
Caligiuri,Fred,111880.0,calif101,caligfr01,caligi001fre,1001836
Hernández,Liván,115817.0,hernl003,hernali01,hernan001eis,1116
Kelly,W. H.,818638.0,kellw104,kellywh01,kelly-000wh-,nan
Korcheck,Steve,117263.0,korcs101,korchst01,korche001ste,1007111
Snyder,Pop,122501.0,snydp101,snydepo01,snyder001pop,1012254
Suck,Tony,122925.0,suckt101,suckto01,suck--001ton,1012667
Knudson,Mark,117218.0,knudm001,knudsma01,knudso001mar,1007065
Sadler,Casey,594987.0,sadlc002,sadleca02,sadler001cas,11209
Helf,Hank,115724.0,helfh101,helfha01,helf--001hen,1005611
Ohka,Tomo,219594.0,ohkat001,ohkato01,ohka--001tom,788
Scott,Jack,121937.0,scotj101,scottja01,scott-007joh,1011683
Littleton,Larry,117827.0,littl101,littlla01,little002lar,1007666
Miller,Owen,680911.0,millo002,milleow01,miller000owe,24655
Lewis,Mark,117740.0,lewim001,lewisma01,lewis-003mar,1007585
Asencio,Miguel,407900.0,asenm001,asencmi01,acenci001mig,586
Edman,Tommy,669242.0,edmat001,edmanto01,edman-000tom,19470
Thomas,Kite,123254.0,thomk101,thomaki01,thomas003kei,1012982
Vásquez,Jorge,430655.0,vasqj001,vasqujo01,vasque002jor,2221
Brady,Neal,111361.0,bradn101,bradyne01,brady-001cor,1001329
Roach,John,121259.0,roacj101,roachjo01,roach-003joh,1011012
Reynolds,Bill,817576.0,reynb103,reynobi02,reynol000bil,nan
Meeker,James,703231.0,meekj001,meekeja01,meeker000jam,nan
Castillo,Diego,660636.0,castd004,castidi02,castil001die,19906
Giles,George,819385.0,gileg101,gilesge01,giles-002geo,nan
Kelly,Billy,116963.0,kellb104,kellybi02,kelly-006wil,1006793
Brannock,Mike,111391.0,branm102,brannmi01,branno001mik,1001352
Bergman,Al,110907.0,berga101,bergmal01,bergma001alf,1000878
Hesselbacher,George,115869.0,hessg101,hessege01,hessel001geo,1005748
Montague,Ed,119255.0,monte101,montaed01,montag001edw,1009059
Thomas,Bill,123267.0,thomb101,thomabi01,thomas007wil,1012964
Baker,Jesse,110478.0,bakej104,bakerje02,baker-001jes,1000461
Curran,John,112952.0,currp102,currepe01,curren001pet,1002888
Tebeau,Pussy,123168.0,tebep102,tebeapu01,tebeau001pus,1012901
Ford,Tom,114307.0,fordt101,fordto01,ford--001tom,1004225
Smith,Bill,122469.0,smitb112,smithbi04,smith-028wil,1012096
Tannehill,Lee,123087.0,tannl101,tannele01,tanneh002lee,1012823
Coffman,George,112443.0,coffs101,coffmsl01,coffma001geo,1002393
Carrithers,Don,112040.0,carrd104,carrido01,carrit001don,1001992
Sabo,Alex,121605.0,saboa101,saboal01,sabo--001ale,1011356
Woulfe,Jimmy,124589.0,woulj101,woulfji01,woulfe001jim,1014267
Griffith,Tommy,115153.0,grift102,griffto01,griffi004tho,1005053
McGrew,Slim,118729.0,mcgrs101,mcgresl01,mcgrew001wal,1008547
Doyle,Jeff,113525.0,doylj101,doyleje02,doyle-001jef,1003463
Maskrey,Leech,118394.0,maskl101,maskrle01,maskre001lee,1008214
Russell,Frank,817402.0,russf101,russefr01,russel004fra,nan
Jones,A.,818695.0,jonea106,jonesa03,jones-006a--,nan
Skopec,John,122302.0,skopj101,skopejo01,skopec001joh,1012042
Xiqués,Leovigildo,816448.0,xiqul101,xiquele01,xiques000leo,nan
Logan,Coley,818458.0,logac101,loganco01,logan-000car,nan
Smith,Dan,137203.0,smitd005,smithda05,smith-015dan,1012120
Cessa,Luis,570666.0,cessl001,cessalu01,cessa-001lui,13345
Cacek,Craig,111852.0,cacec101,cacekcr01,cacek-001cra,1001808
Dewald,Charlie,113320.0,dewac101,dewalch01,dewald001cha,1003256
Washington,Herb,123963.0,washh101,washihe01,washin001her,1013656
Valdez,Julio,123602.0,valdj101,valdeju01,valdez002jul,1013312
Mele,Dutch,118928.0,meled101,meledu01,mele--001alb,1008743
Peña,Tony,430963.0,penat003,penato03,pena--004ram,4573
Walkup,Jim,123847.0,walkj102,walkuji02,walkup001jam,1013541
Williams,Davey,124296.0,willd102,willida03,willia006dav,1013984
Jones,David,,joned108,jonesda06,jones-014dav,nan
Jensen,Jackie,116533.0,jensj101,jenseja01,jensen001jac,1006398
Zastryzny,Rob,642239.0,zastr001,zastrro01,zastry000rob,15094
King,Lynn,117084.0,kingl102,kingly01,king--001lyn,1006936
Woodson,Kerry,124568.0,woodk001,woodske01,woodso001wal,1014240
Doyle,Jess,113526.0,doylj105,doyleje01,doyle-001jes,1003462
Shanahan,Greg,122044.0,shang101,shanagr01,shanah001pau,1011787
Stanley,Joe,122671.0,stanj103,stanljo02,stanle003jos,1012414
Mastny,Tom,457826.0,mastt001,mastnto01,mastny001tho,5768
Schneider,Davis,676914.0,schnd001,schneda03,schnei000dav,23565
Haynes,Leroy,819103.0,haynl101,haynele01,haynes002ler,nan
Pruess,Earl,120783.0,pruee101,pruesea01,pruess001ear,1010550
Pettyjohn,Adam,282562.0,petta002,pettyad01,pettyj001ada,489
Ramírez,Hanley,434670.0,ramih003,ramirha01,ramire001han,8001
Santry,Edward,121701.0,sante101,santred01,santry001edw,1011448
Riggert,Joe,121198.0,riggj101,riggejo01,rigger001jos,1010956
Hayes,Johnny,819113.0,hayej104,hayesjo01,hayes-007joh,nan
